"Site","RemovTreat","Date","sumSpm2","AveSpm2","ComName","DateCode"
"102","0","2012-06-01",1.9047619047619,1.9047619047619,"Lionfish","Jun12"
"107","1","2012-06-01",5.88235294117647,5.88235294117647,"Lionfish","Jun12"
"108","0","2012-06-01",40.1785714285714,40.1785714285714,"Lionfish","Jun12"
"71","0","2012-06-01",6.45161290322581,6.45161290322581,"Lionfish","Jun12"
"73","0","2012-06-01",6.75675675675676,6.75675675675676,"Lionfish","Jun12"
"78","0","2012-06-01",10.4761904761905,10.4761904761905,"Lionfish","Jun12"
"84","0","2012-06-01",13.0434782608696,13.0434782608696,"Lionfish","Jun12"
"86","1","2012-06-01",19.4029850746269,19.4029850746269,"Lionfish","Jun12"
"90","0","2012-06-01",9.9290780141844,9.9290780141844,"Lionfish","Jun12"
"94","0","2012-06-01",38.1818181818182,38.1818181818182,"Lionfish","Jun12"
"99","1","2012-06-01",20.979020979021,20.979020979021,"Lionfish","Jun12"
"F4","1","2012-06-01",12.3809523809524,12.3809523809524,"Lionfish","Jun12"
"107","1","2013-06-01",3.92156862745098,3.92156862745098,"Lionfish","Jun13"
"108","0","2013-06-01",0.892857142857143,0.892857142857143,"Lionfish","Jun13"
"119","1","2013-06-01",0.72463768115942,0.72463768115942,"Lionfish","Jun13"
"78","0","2013-06-01",0.952380952380952,0.952380952380952,"Lionfish","Jun13"
"84","0","2013-06-01",4.34782608695652,4.34782608695652,"Lionfish","Jun13"
"86","1","2013-06-01",7.46268656716418,7.46268656716418,"Lionfish","Jun13"
"90","0","2013-06-01",1.41843971631206,1.41843971631206,"Lionfish","Jun13"
"94","0","2013-06-01",5.45454545454545,5.45454545454545,"Lionfish","Jun13"
"99","1","2013-06-01",6.99300699300699,6.99300699300699,"Lionfish","Jun13"
"E3","1","2013-06-01",0.490196078431373,0.490196078431373,"Lionfish","Jun13"
"F4","1","2013-06-01",1.9047619047619,1.9047619047619,"Lionfish","Jun13"
"New2","1","2013-06-01",2.94117647058824,2.94117647058824,"Lionfish","Jun13"
